Территории;"январь 2006";"февраль 2006";"март 2006";"апрель 2006";"май 2006";"июнь 2006";"июль 2006";"август 2006";"сентябрь 2006";"октябрь 2006";"ноябрь 2006";"декабрь 2006";"январь 2007";"февраль 2007";"март 2007";"апрель 2007";"май 2007";"июнь 2007";"июль 2007";"август 2007";"сентябрь 2007";"октябрь 2007";"ноябрь 2007";"декабрь 2007";"январь 2008";"февраль 2008";"март 2008";"апрель 2008";"май 2008";"июнь 2008";"июль 2008";"август 2008";"сентябрь 2008";"октябрь 2008";"ноябрь 2008";"декабрь 2008";"январь 2009";"февраль 2009";"март 2009";"апрель 2009";"май 2009";"июнь 2009";"июль 2009";"август 2009";"сентябрь 2009";"октябрь 2009";"ноябрь 2009";"декабрь 2009";"январь 2010";"февраль 2010";"март 2010";"апрель 2010";"май 2010";"июнь 2010";"июль 2010";"август 2010";"сентябрь 2010";"октябрь 2010";"ноябрь 2010";"декабрь 2010";"январь 2011";"февраль 2011";"март 2011";"апрель 2011";"май 2011";"июнь 2011";"июль 2011";"август 2011";"сентябрь 2011";"октябрь 2011";"ноябрь 2011";"декабрь 2011";"январь 2012";"февраль 2012";"март 2012";"апрель 2012";"май 2012";"июнь 2012";"июль 2012";"август 2012";"сентябрь 2012";"октябрь 2012";"ноябрь 2012";"декабрь 2012";"январь 2013";"февраль 2013";"март 2013";"апрель 2013";"май 2013";"июнь 2013";"июль 2013";"август 2013";"сентябрь 2013";"октябрь 2013";"ноябрь 2013";"декабрь 2013";"январь 2014";"февраль 2014";"март 2014";"апрель 2014";"май 2014";"июнь 2014";"июль 2014";"август 2014";"сентябрь 2014";"октябрь 2014";"ноябрь 2014";"декабрь 2014";"январь 2015";"февраль 2015";"март 2015";"апрель 2015";"май 2015";"июнь 2015";"июль 2015";"август 2015";"сентябрь 2015";"октябрь 2015";"ноябрь 2015";"декабрь 2015";"январь 2016";"февраль 2016";"март 2016";"апрель 2016";"май 2016";"июнь 2016";"июль 2016";"август 2016";"сентябрь 2016";"октябрь 2016";"ноябрь 2016";"декабрь 2016";"январь 2017";"февраль 2017";"март 2017";"апрель 2017";"май 2017";"июнь 2017";"июль 2017"
"    Ленинградская область";484;1043;1753;2437;3165;3806;4424;5066;5650;6373;7055;7718;650;1260;2022;2713;3445;4056;4725;5355;5988;6761;7502;8257;677;1305;2061;2863;3578;4257;4997;5593;6325;7087;7709;8478;593;1190;1986;2765;3500;4179;4872;5487;6145;6824;7552;8343;593;1084;1853;2533;3174;3890;4476;5162;5817;6458;7140;7824;538;1046;1882;2527;3270;3914;4534;5246;5913;6627;7387;8100;602;1159;1849;2541;3257;3881;4592;5274;5872;6615;7249;7904;570;1272;1956;2645;3358;3945;4721;5379;6034;6845;7595;8378;682;1283;1988;2742;3387;4040;4805;5419;6128;6825;7440;8197;547;1040;1719;2329;2891;3512;4178;4775;5364;6002;6602;7309;481;1065;1759;2359;2933;3565;4122;4771;5393;6043;6719;7316;626;1185;1803;2446;3047;3648;4280
"    Мурманская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4332;4800;;;;;;;2357;2622;2933;3325;3665;4107;300;591;1018;1410;1777;2092;2411;2730;3080;3419;3783;4160;286;606;1036;1387;1740;2040;2324
"    Новгородская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2791;3105;;;;;;;1613;1842;2097;2318;2533;2784;183;390;651;900;1125;1346;1578;1828;2058;2306;2556;2790;218;411;672;880;1097;1331;1576
"    Псковская область";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2796;3121;;;;;;;1547;1794;2006;2272;2470;2752;201;419;636;885;1092;1328;1556;1837;2075;2316;2548;2800;206;413;663;895;1155;1395;1644
"    г.Санкт-Петербург";1543;3190;5595;7733;9736;11787;13695;15689;17519;19398;21603;23871;1886;3800;6367;8543;10824;12814;14779;16874;18779;21145;23423;25794;2075;4219;6683;9229;11670;13565;15922;17973;19976;22393;24472;26814;2008;3929;6285;8700;10956;12856;15145;17075;19282;21664;23738;26285;1903;3576;5966;8208;10163;12138;14156;15921;18065;20277;22267;24712;1659;3424;5951;8259;10394;12452;14414;16451;18516;20690;22898;25428;1776;3383;5717;7815;9899;11937;14011;16132;18142;20173;22388;24493;2086;4095;6489;8758;10934;12854;15147;17411;19383;21782;24219;26663;2233;4422;6877;9257;11437;13249;15487;17655;19608;21990;24073;26642;2014;3793;5837;8011;9963;11678;13957;15911;17971;20197;22175;24654;1842;3655;5929;8285;10345;12258;14360;16465;18485;20558;22691;25053;2016;3738;6066;8163;10244;12166;14258
"  Южный федеральный округ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61675;67858;;;;;;;38275;43934;50191;56380;61947;68695;4871;10013;16263;22215;27569;33195;39050;45395;51108;56802;62985;69000;5431;10328;16327;21928;27816;33600;39205
"    Республика Адыгея";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1659;1842;;;;;;;885;1041;1177;1299;1429;1581;106;227;389;534;652;807;953;1117;1246;1383;1524;1651;119;239;384;524;657;796;951
"    Республика Калмыкия";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1167;1279;;;;;;;600;682;769;847;943;1025;77;153;238;313;408;494;608;711;815;897;976;1053;84;151;222;321;404;469;543
"    Республика Крым";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4446;5033;;;;;;;3185;3659;4137;4662;5091;5673;411;885;1428;1946;2422;2879;3382;3995;4483;5069;5643;6275;415;881;1423;1981;2594;3110;3707
"    Краснодарский край";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24525;26959;;;;;;;14172;16277;18523;20893;22943;25427;1819;3766;6049;8329;10268;12291;14446;16702;18865;20919;23079;25321;2026;3853;6002;8045;10169;12297;14291
